	otu_preds	taxa_preds
EA05_S_Wi2017RNA	1.81410332344392	1.83504347918275
EA10_S_Wi2017RNA	2.63768854981491	2.64354108370706
EB05_S_Wi2013RNA	1.7480674137397	1.80467754336091
EB05_S_Wi2017RNA	1.84036204518365	1.82098074437731
EB05_S_Wi2018RNA	1.85521726011492	1.90808604220518
EB07_S_Wi2017RNA	1.68575800657196	1.76146845794785
EB10_S_Wi2017RNA	1.918524626001	2.0033215152489
EBI05_S_Wi2018RNA	1.81239389417735	2.40887583682432
EBI10_S_Wi2017RNA	2.12071840958073	3.02505781762147
EBI20_S_Wi2018RNA	1.63395239802783	1.54073448623912
ED05_S_Su2017RNA	1.69149331988046	1.62205824165965
ED05_S_Wi2013RNA	1.63600167395761	1.87900389890811
ED05_S_Wi2016RNA	1.92240262856799	1.67737802028801
ED05_S_Wi2017RNA	1.60328940983772	1.79275548772069
ED05_S_Wi2018RNA	1.67057055555556	1.83957431832533
ED10_S_Wi2017RNA	1.52778365649977	1.40998113101797
EL05_S_Wi2017RNA	1.60097269280847	1.7695137147869
EL05_S_Wi2018RNA	1.74878501813187	1.76904432205763
EL10_S_Wi2017RNA	1.6561263184136	1.6301332142325
EM05_S_Wi2017RNA	1.6353565628465	1.50527708471933
EM10_S_Wi2015RNA	1.63774666666667	1.78173146503378
EN10_S_Wi2017RNA	1.77531335705417	1.86711766759067
EN15_S_Wi2017RNA	1.94199415958073	1.88471505283408
EN15_S_Wi2018RNA	2.4357516885395	2.60489760767065
EN17_S_Wi2013RNA	1.72364979235967	1.77396022843468
EN17_S_Wi2017RNA	2.83647533333333	2.6800595628465
EN20_S_Wi2013RNA	1.93676953481173	1.87375083333333
EN20_S_Wi2016RNA	2.962667	2.85716313170045
EN20_S_Wi2017RNA	2.00704360659217	2.2691210628465
EN20_S_Wi2018RNA	3.06330033333333	2.68397359180527
EN30_S_Su2017RNA	2.626135	2.21583189617983
EO05_S_Wi2013RNA	1.5230484235595	1.5379352763398
EO05_S_Wi2017RNA	1.93775028696798	1.96307914155838
EO10_S_Wi2017RNA	1.38140582851951	1.38418276740587
EOI10_S_Su2017RNA	2.29643137607776	2.58616502151334
EOI10_S_Wi2017RNA	2.45086386259962	2.31145513755342
EOI10_S_Wi2018RNA	2.54395245898771	2.38857230858454
EOI15_S_Su2017RNA	2.60937672889668	2.79909506048452
EOI15_S_Wi2017RNA	2.33988982798026	2.41292024039809
EOI20_S_Su2017RNA	2.36650495348088	2.06437252690479
EOI20_S_Su2018RNA	1.78882419612533	1.74038781058703
EOI20_S_Wi2013RNA	2.36556062711762	2.11178100621246
EOK05_S_Su2017RNA	2.11551073598213	2.47922869411556
EOK05_S_Wi2017RNA	1.86076743263456	2.05653358243936
EOK05_S_Wi2018RNA	1.86015182290993	1.98951844775063
EOK10_S_Wi2013RNA	1.97662566517719	2.00671808339426
EOK10_S_Wi2017RNA	1.84368898854961	2.24592472504591
EOK10_S_Wi2018RNA	1.88288014623084	1.87310497107155
EU05_S_Wi2013RNA	1.79937223480163	1.92529823394151
EU05_S_Wi2017RNA	1.78973269018249	1.8876604896021
EU05_S_Wi2018RNA	1.78597194803842	1.90896892579298
EU08_S_Wi2013RNA	1.83879440711625	1.76105263108397
EU08_S_Wi2017RNA	1.78119721950075	1.85705934865947
EU08_S_Wi2018RNA	1.7509114131237	1.82787479482415
EUR05_S_Wi2015RNA	1.68762916666667	1.67088556666667
EUR05_S_Wi2016RNA	1.74925833333333	1.6105256
EUR05_S_Wi2017RNA	2.24444433333333	2.6285102
EUR05_S_Wi2018RNA	1.84586616666667	2.10075013333333
EUR05_S_Wi2019RNA	1.74725966666667	1.64629916666667
